Palavra,Tamanho da palava,Tempo (s)
ab,2,7.274150848388672e-06
aabb,4,1.7392635345458985e-05
aaabbb,6,3.237009048461914e-05
aaaabbbb,8,5.1572322845458985e-05
aaaaabbbbb,10,0.00010582208633422852
aaaaaabbbbbb,12,0.00014533281326293947
aaaaaaabbbbbbb,14,0.00022463083267211913
aaaaaaaabbbbbbbb,16,0.00029242515563964843
aaaaaaaaabbbbbbbbb,18,0.0003668475151062012
aaaaaaaaaabbbbbbbbbb,20,0.00046946287155151366
aaaaaaaaaaabbbbbbbbbbb,22,0.0005603170394897461
aaaaaaaaaaaabbbbbbbbbbbb,24,0.0007053446769714355
aaaaaaaaaaaaabbbbbbbbbbbbb,26,0.0008095955848693848
aaaaaaaaaaaaaabbbbbbbbbbbbbb,28,0.0009412980079650879
aaaaaaaaaaaaaaabbbbbbbbbbbbbbb,30,0.0011009645462036132
aaaaaaaaaaaaaaaabbbbbbbbbbbbbbbb,32,0.0012901949882507325
aaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbb,34,0.001529254913330078
aaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbb,36,0.0017900943756103515
aaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbb,38,0.0019971728324890137
aaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbb,40,0.0026243925094604492
aaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbb,42,0.0026322388648986816
aaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbb,44,0.002944493293762207
aaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbb,46,0.00333010196685791
aaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbb,48,0.0036755013465881348
aaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbb,50,0.004081292152404785
aaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbb,52,0.0045048737525939945
aaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbb,54,0.005006055831909179
aaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbb,56,0.005503933429718017
aaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbb,58,0.006160304546356201
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,60,0.007029643058776855
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,62,0.007481005191802979
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,64,0.008151261806488038
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,66,0.008747751712799073
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,68,0.009450187683105469
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,70,0.01029207706451416
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,72,0.011485996246337891
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,74,0.014089131355285644
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,76,0.01397670030593872
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,78,0.014352378845214843
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,80,0.015794329643249512
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,82,0.016801056861877443
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,84,0.01789865255355835
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,86,0.021797866821289064
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,88,0.02046701908111572
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,90,0.021802766323089598
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,92,0.022862284183502196
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaabbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,94,0.024814679622650146
